STT,Mã TL,Nội dung mô tả,File gom được,Thư mục đích,Trạng thái
26,A21,"Bản đồ Quận Nam Hoà năm 1967.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",a21. Quận Nam Hòa.jpg,3. Phần 1,Thành công
27,A22,"Bản đồ Quận Phú Lộc.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",a22. Quận Phú Lộc.jpg,3. Phần 1,Thành công
28,A23,"Bản đồ Quận Phú Thứ.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",a23.. Quận Phú Thứ.jpg,3. Phần 1,Thành công
29,A24,"Bản đồ Quận Phú Vang.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",a24. Quận Phú Vang.jpg,3. Phần 1,Thành công
30,Phần 2,Huế cùng cả nước tiến lên xây dựng chủ nghĩa xã hội,[THƯ MỤC TIÊU ĐỀ],4. Phần 2,Tiêu đề
31,Tiêu đề chủ đề,Những năm đầu đất nước được thống nhất,[THƯ MỤC TIÊU ĐỀ],4. Phần 2/1. Những năm đầu đất nước được thống nhất,Tiêu đề
32,,"Ngày 26/3/1975, Thừa Thiên Huế được giải phóng hoàn toàn, góp phần quan trọng vào công cuộc giải phóng miền Nam, thống nhất Tổ Quốc, cùng cả nước xây dựng chủ nghĩa xã hội.",-,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thiếu file
33,A4,"Những ngày đầu tháng 3/1975, sau khi giải phóng Buôn Ma Thuột, Bộ Chính trị quyết định mở chiến dịch Huế - Đà Nẵng với mục tiêu giải phóng Huế và Đà Nẵng. Quân khu Trị Thiên đã lên kế hoạch giải phóng Huế với các mũi tấn công từ phía Tây Nam và Tây Bắc, nhằm chia cắt và làm rối loạn phòng tuyến địch. 
Trong ảnh, Bộ Chỉ huy chiến dịch họp bàn kế hoạch giải phóng Huế năm 1975.
Nguồn: https://vnexpress.net/co-do-hue-nhung-ngay-giai-phong-50-nam-truoc-4865641.html",A4.webp,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thành công
34,,"Nhân dân quận 2 thành phố Huế mít tinh tuần hành chào mừng chiến thắng.
Nguồn: Trung tâm Lưu trữ quốc gia III.",-,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thiếu file
35,15485,"Quyết định số 167-CP ngày 20/8/1975 của Thường vụ Hội đồng Chính phủ về công tác chỉ đạo và quản lý tại tỉnh Quang Trị và Thừa Thiên Huế. 
Nguồn: Trung tâm Lưu trữ quốc gia III.",A45...ptt ml3 15485,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thành công
36,A5,"Phân định các đơn vị địa lý hành chính cấp tỉnh, tháng 12/1975.
Nguồn: Trung tâm Lưu trữ quốc gia III, phông Văn phòng Chính phủ.",A5.tif,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thành công
37,,"1976: Sau giải phóng miền Nam thống nhất đất nước, tháng 02/1976 Chính phủ Cách mạng Lâm thời Cộng hòa miền Nam Việt Nam ban hành Nghị định sáp nhập các tỉnh Quảng Bình, Quảng Trị, Thừa Thiên và Khu vực Vĩnh Linh thành tỉnh Bình Trị Thiên, tỉnh lị đặt tại thành phố Huế.",-,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thiếu file
38,A26,"Chỉ thị số 293/CT-TU ngày 15/4/1976 v/v hoàn thành hợp tỉnh Quảng Bình - Quảng Trị - Thừa Thiên.
Nguồn: Trung tâm Lưu trữ thành phố Huế",A26...Chỉ thị số 293 năm 1976 về việc hoàn thành hợp tỉnh Quảng Bình - Quảng Trị - Thừa Thiên.jpg,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thành công
39,,"Đến ngày 15/4/1976, việc hợp nhất tỉnh hoàn thành. Thành phố Huế là tỉnh lỵ của tỉnh Bình Trị Thiên có 17 phường, xã.",-,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thiếu file
40,,"1981: Ngày 11/9/1981, Hội đồng Bộ trưởng ban hành Quyết định 64-HĐBT, theo đó sáp nhập các xã, thôn vào thành phố Huế. Sau khi điều chỉnh địa giới hành chính, thành phố Huế có 10 phường và 23 xã.",-,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thiếu file
41,A42,"Quyết định 64-HĐBT ngày 11/9/1981 của Hội đồng Bộ trưởng quy định v/v điều chỉnh và phân vạch lại địa giới hành chính tại tỉnh Bình Trị Thiên (nay là Thừa Thiên Huế và Quảng Trị).
Nguồn: Trung tâm Lưu trữ quốc gia III.",A42...vpcp 383,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thành công
42,,"Thành phố Huế được mở rộng có quy mô lớn nhất từ trước đến bấy giờ. “Thành phố Huế sau khi mở rộng bao gồm các phường Thuận Thành, Thuận Lộc, Thuận Hòa, Tây Lộc, Phú Thuận, Phú Hòa, Phú Cát, Phú Hiệp, Vĩnh Lợi, Vĩnh Ninh và các xã Thủy Trường, Thủy Phước, Thủy Xuân, Xuân Long, Hương Hải, Hương Phong, Hương Vinh, Hương Sơ, Hương Long, Hương Bình, Hương Thọ, Thủy bằng, Thủy Biều, Thủy An, Thủy Dương, Phú Thượng, Phú Dương, Phú Mậu, Phú Thanh, Phú Tân, Thủy Phú (gồm cả xóm Đông Giáp), Hương Lưu (gồm cả xóm Cồn Trâu và xóm Cổ Thành), Hương Hồ (gồm cả các thôn Thanh Chữ, Cổ Bưu, An Lưu, Bồn Trì, Bồn Phổ).”
Trích: Quyết định 64-HĐBT ngày 11/9/1981 của Hội đồng Bộ trưởng quy định v/v điều chỉnh và phân vạch lại địa giới hành chính tại tỉnh Bình Trị Thiên (nay là Thừa Thiên Huế và Quảng Trị).
Nguồn: Trung tâm Lưu trữ quốc gia III.",2...QD27_05_01_1994 thành lập tổ chức Thanh tra Sở.pdf,4. Phần 2/1. Những năm đầu đất nước được thống nhất,Thành công
43,Tiêu đề chủ đề,Huế trong tiến trình đổi mới và hội nhập,[THƯ MỤC TIÊU ĐỀ],4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Tiêu đề
44,A47,"Nghị quyết của Quốc hội nước CHXHCN Việt Nam tại kì họp thứ 5 Quốc hội khóa VIII tách tỉnh Bình Trị Thiên để tái lập các tỉnh Quảng Bình, Quảng Trị và Thừa Thiên - Huế. 
Tỉnh Thừa Thiên - Huế gồm 5 đơn vị hành chính: 
* Thành phố Huế;
* Huyện Hương Phú, 
* Huyện Hương Điền, 
* Huyện Phú Lộc và 
* Huyện A Lưới.",3...QD517_16_3_1994 thành lập Sở Du lịch tỉnh Thừa Thiên Huế.pdf,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
44,A47,"Nghị quyết của Quốc hội nước CHXHCN Việt Nam tại kì họp thứ 5 Quốc hội khóa VIII tách tỉnh Bình Trị Thiên để tái lập các tỉnh Quảng Bình, Quảng Trị và Thừa Thiên - Huế. 
Tỉnh Thừa Thiên - Huế gồm 5 đơn vị hành chính: 
* Thành phố Huế;
* Huyện Hương Phú, 
* Huyện Hương Điền, 
* Huyện Phú Lộc và 
* Huyện A Lưới.",A47...hs 5976 qh,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
45,B6,"Báo cáo số 102-TC/CQ ngày 5/11/1990 của Ban TCCQ tỉnh Thừa Thiên Huế v/v báo cáo thực hiện Quyết định số 345/HĐBT ngày 29 tháng 9 năm 1990 của HĐBT về điều chỉnh địa giới các huyện và thành phố Huế.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",B6,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
46,B2,1992: Quyết định số 355-CT công nhận thành phố Huế thuộc tỉnh Thừa Thiên-  Huế là Đô thị loại II.,-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
47,B3,"Nghị định số 80/CP ngày 22/11/1995 của Chính phủ v/v phân chia phường Vĩnh Lợi thuộc thành phố Huế thành 2 phường là Phú Nhuận và Phú Hội, chia phường Phú Hiệp thành 2 phường Phú Hiệp và Phú Hậu.
Nguồn: Trung tâm Lưu trữ quốc gia III.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
48,2281,"Bản đồ địa giới hành chính thành phố Huế năm 1998.
Nguồn: Trung tâm Lưu trữ quốc gia III.",A38...BTC CBCP 2281,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
49,B8,"Chương trình nghệ thuật trong Lễ bế mạc Festival Huế 2000. 
Ảnh: Trung tâm Festival.
Nguồn: https://huengaynay.vn/chinh-tri-xa-hoi/theo-dong-thoi-su/festival-hue-dau-tien-sau-con-lu-lich-su-1999-80075.html",B8...festival-hue.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
50,B9,"Báo cáo tình hình tổ chức hoạt động của UBND các cấp tỉnh Thừa Thiên Huế, nhiệm kỳ 1999 -2004.
https://hue.gov.vn/Trang-chu/He-thong-van-ban-phap-luat/type/cd/vb/14698",B9....BC19_26_02_2004.rtf,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
51,B7,"2005: Ngày 24/8/2005 Thủ tướng Chính phủ ban hành Quyết định số 209/2005/QĐ-TTg nâng cấp thành phố Huế lên Đô thị loại I.
Nguồn: Trung tâm Lưu trữ quốc gia III.",B7...vpcp 1948-2007 2579,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
52,,"Thành phố Huế là trung tâm chính trị, kinh tế, văn hoá, khoa học kỹ thuật, du lịch, dịch vụ, đầu mối giao thông, giao lưu trong nước và quốc tế có vai trò thúc đẩy sự phát triển kinh tế - xã hội của địa phương, khu vực.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
53,,"Sau nhiều lần chia tách, sáp nhập, tỉnh Thừa Thiên - Huế gồm:
* 01 thành phố Huế có: 36 đơn vị trực thuộc (29 phường, 7 xã);
* 02 thị xã là Hương Trà, Hương Thủy;
* 06 huyện: A Lưới, Nam Đông, Phong Điền, Phú Lộc, Phú Vang, Quảng Điền.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
54,62.0,"Nghị quyết số 05/2009/NQBT-HĐND ngày 11/11/2009 của HĐND thành phố Huế v/v thông qua Đề án thành lập các phường: Hương Long, Thủy Xuân, Thủy Biều.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
55,A49,"Bản đồ địa giới hành chính tỉnh Thừa Thiên Huế năm 2023.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",A49...Bản đồ Địa giới hành chính tỉnh Thừa Thiên Huế năm 2023.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
56,,"2025: Theo Nghị quyết số 1314/NQ-UBTVQH15 ngày 30/11/2024 của Ủy ban Thường vụ Quốc hội v/v/ sắp xếp đơn vị hành chính cấp huyện, cấp xã của thành phố Huế giai đoạn 2023 – 2025, từ ngày 01/01/2025, thành phố Huế có:
* 09 đơn vị hành chính cấp huyện, gồm 04 huyện, 03 thị xã và 02 quận; 
* 133 đơn vị hành chính cấp xã, gồm 48 phường, 78 xã và 07 thị trấn.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
57,B19,"Bản đồ sắp xếp đơn vị hành chính cấp huyện, cấp xã giai đoạn 2023-2025.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",B19...Bản đồ sắp xếp đơn vị hc cấp huyện cấp xã gđ 2023-2025.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
58,A9,"Nghị quyết số 175/2024/QH15 của Quốc hội v/v thành lập thành phố Huế trực thuộc trung ương năm 2024.
 Nguồn: Trung tâm Lưu trữ Thành phố Huế.",A9.pdf,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
59,,"Thành phố Huế là thành phố trực thuộc trung ương:
Diện tích tự nhiên là 4.947,11 km2 
Quy mô dân số là 1.236.393 người của tỉnh Thừa Thiên Huế.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
60,B12,"Phó Chủ tịch Quốc hội Nguyễn Khắc Định điều hành phiên họp Tại Kỳ họp thứ 8, Quốc hội khóa XV về thành lập thành phố Huế trực thuộc Trung ương.
Nguồn: https://xaydungchinhsach.chinhphu.vn/",B12.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
61,B14,"Ủy viên Ủy ban Thường vụ Quốc hội, Chủ nhiệm Ủy ban Pháp luật Hoàng Thanh Tùng trình bày Báo cáo giải trình, tiếp thu, chỉnh lý dự thảo Nghị quyết v/v thành lập thành phố Huế trực thuộc Trung ương.
Nguồn: https://xaydungchinhsach.chinhphu.vn/",B14.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
62,B16,"Sáng 30/11/2024, vào lúc 8 giờ 26 phút, tại Kỳ họp thứ 8, Quốc hội khóa XV, Quốc hội đã biểu quyết thông qua Nghị quyết thành lập thành phố Huế trực thuộc Trung ương với tỷ lệ 95,62% phiếu tán thành.
Nguồn: https://hue.gov.vn/Chuyen-trang",B16.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
63,B15,"Quốc hội đã chính thức thông qua Nghị quyết thành lập thành phố Huế trực thuộc Trung ương với tỷ lệ tán thành rất cao.
Nguồn: https://xaydungchinhsach.chinhphu.vn/",B15.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
64,,"Thành phố Huế trực thuộc Trung ương là dấu mốc quan trọng trong quá trình phát triển của vùng đất Cố đô, tạo nền tảng phát huy giá trị di sản, nâng cao hiệu quả quản lý đô thị và thúc đẩy Huế phát triển nhanh, bền vững, trở thành trung tâm lớn về văn hóa, du lịch, y tế, khoa học, công nghệ và giáo dục của cả nước và khu vực.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
65,B18,"Bản đồ thành lập thành phố Huế trực thuộc Trung ương.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",B18. Bản đồ thành lập thành phố Huế trực thuộc Trung ương.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
66,A8,"Huế về đêm.
Nguồn: Internet",A8.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
67,A7,"Nghị quyết số 1675/NQ-UBTVQH15 ngày 16/6/2025 v/v sắp xếp các đơn vị hành chính cấp xã của thành phố Huế năm 2025.
Nguồn: Trung tâm Lưu trữ Huế",A7..1675-nq.signed.pdf,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
68,,"Sau khi sắp xếp, thành phố Huế có:
40 đơn vị hành chính cấp xã, gồm 21 phường và 19 xã.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
69,,"Sơ đồ:
1. Phường Phong Điền.
2. Phường Phong Thái.
3. Phường Phong Dinh.
4. Phường Phong Phú.
5. Phường Phong Quảng.
6. Phường Hương Trà.
7. Phường Kim Trà.
8. Phường Kim Long.
9. Phường Hương An.
10. Phường Phú Xuân.
11. Phường Thuận An.
12. Phường Hóa Châu.
13. Phường Mỹ Thượng.
14. Phường Vỹ Dạ.
15. Phường Thuận Hóa.
16. Phường An Cựu.
17. Phường Thủy Xuân.
18. Phường Thanh Thủy.
19. Phường Hương Thủy.
20. Phường Phú Bài.
21. Xã Đan Điền.
22. Xã Quảng Điền.
23. Xã Bình Điền.
24. Xã Phú Vinh.
25. Xã Phú Hồ.
26. Xã Phú Vang.
27. Xã Vinh Lộc.
28. Xã Hưng Lộc.
29. Xã Lộc An.
30. Xã Phú Lộc.
31. Xã Chân Mây - Lăng Cô.
32. Xã Long Quảng.
33. Xã Nam Đông.
34. Xã Khe Tre.
35. Xã A Lưới 1.
36. Xã A Lưới 2.
37. Xã A Lưới 3.
38. Xã A Lưới 4.
39. Xã A Lưới 5.
40. Phường Dương Nỗ",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
70,B20,"Bản đồ sắp xếp các đơn vị hành chính cấp xã của thành phố Huế năm 2025.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",B20...Bản đồ sắp xếp các đơn vị hc cấp xã của thành phố Huế năm 2025.jpg,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thành công
71,,"Việc triển khai mô hình chính quyền địa phương hai cấp đánh dấu bước đổi mới trong tổ chức bộ máy của thành phố Huế, hướng tới nền hành chính tinh gọn, hiệu lực, hiệu quả; tăng cường phân cấp, phân quyền và nâng cao chất lượng phục vụ người dân, doanh nghiệp.",-,4. Phần 2/2. Huế trong tiến trình đổi mới và hội nhập,Thiếu file
72,Phần 3,Từng bước đổi mới nền hành chính phụng sự nhân dân,[THƯ MỤC TIÊU ĐỀ],5. Phần 3,Tiêu đề
73,Tiêu đề chủ đề,Hoàn thiện tổ chức bộ máy chính quyền,[THƯ MỤC TIÊU ĐỀ],5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Tiêu đề
74,,"Bước vào giai đoạn mới, Huế từng bước kiện toàn tổ chức bộ máy chính quyền theo hướng tinh gọn, hiệu lực, hiệu quả; phân định rõ chức năng, nhiệm vụ, đáp ứng yêu cầu quản lý và phát triển của địa phương qua từng giai đoạn.",-,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thiếu file
75,C7,"Quyết định số 540 QĐ/UB ngày 26/4/1988 của UBND tỉnh Bình Trị Thiên v/v sắp xếp tổ chức bộ máy các cơ quan chuyên môn và đơn vị sự nghiệp thuộc UBND tỉnh.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C7....QĐ 540-1988,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
76,C6,"Quyết định số 709 QĐ/UB ngày 15/6/1988 của UBND tỉnh Bình Trị Thiên v/v chuẩn y tổ chức bộ máy các cơ quan chuyên môn thuộc UBND.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C6...QĐ 709-1988,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
77,,Sơ đồ bộ máy các cơ quan chuyên môn thuộc UBND tỉnh Bình Trị Thiên,-,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thiếu file
78,D1,"Một số quyết định của UBND tỉnh Thừa Thiên Huế v/v thành lập các ban, ngành cấp tỉnh năm 1989-1990",D1...TCBM thành lập các sở ban ngành 1989,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
79,C1,"Quyết định số 139-QĐ ngày 07/02/1990 của UBND tỉnh Thừa Thiên Huế v/v thành lập Sở Tư pháp và bổ nhiệm cán bộ lãnh đạo Sở.
Nguồn: Trung tâm Lưu trữ Thành phố Huế.",C1...QD139_07_02_1990.pdf,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
80,C8,"Quyết định số 139/QĐ-UB ngày 01/02/1991 của UBND tỉnh Thừa Thiên Huế v/v quy định chức năng nhiệm vụ, quyền hạn và cơ cấu tổ chức và hoạt động của Ban Tổ chức Chính quyền tỉnh.",C8...QĐ139-1990,5. Phần 3/1. Hoàn thiện tổ chức bộ máy chính quyền,Thành công
